AgArea,Station_ID,Station_Description,DECIMAL_LAT,DECIMAL_LONG,pH_benuse,pH_low,pH_high,DO_use,DO_criteria,ZDADM,Temp_Benuse,spwn_time
Rogue River,10414,Rogue River at Lobster Creek Bridge,42.503667,-124.292167,Estuarine and Freshwater,6.5,8.5,,,,,
Rogue River,10418,Rogue River at Robertson Bridge (Merlin),42.496833,-123.487278,Estuarine and Freshwater,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15
Rogue River,10421,Rogue River at Hwy 234 (north of Gold Hill),42.432694,-123.089389,Estuarine and Freshwater,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15
Rogue River,10423,Rogue River at Hwy 234 (Dodge Park),42.525333,-122.841583,Estuarine and Freshwater,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 15-June 15
Rogue River,10428,Applegate River at Hwy 199 (near Wilderville),42.3975,-123.455833,Estuarine and Freshwater,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15
Rogue River,10602,Little Butte Creek at Agate Road (White City),42.455444,-122.855028,Estuarine and Freshwater,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 15-June 15
Rogue River,11051,Bear Creek at Kirtland Road (Central Point),42.404722,-122.937722,Estuarine and Freshwater,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15
Rogue River,11482,Illinois River downstream of Kerby,42.238389,-123.68675,Estuarine and Freshwater,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15
Rogue River,36805,"Applegate River at Murphy, OR",42.35,-123.333,Estuarine and Freshwater,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15
Rogue River,USGS-14330000,"ROGUE RIVER BELOW PROSPECT, OR",42.72957187,-122.516147,,,,,,18,Salmon and Trout Rearing and Migration,No spawning 
Rogue River,USGS-14335072,"ROGUE R AT COLE M RIVERS F HATCHERY NR MCLEOD, OR",42.6658333,-122.6863889,,,,,,16,Core Cold Water Habitat,October 15-May 15
Rogue River,USGS-14337600,"ROGUE RIVER NEAR MCLEOD, OR",42.6554035,-122.7150408,,,,,,16,Core Cold Water Habitat,September 15-June 15
Rogue River,USGS-14338000,"ELK CREEK NEAR TRAIL, OR",42.6787364,-122.7419867,,,,,,16,Core Cold Water Habitat,September 15-June 15
